vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count,products_of_vendor,product_url
"Appfigures, Inc.",appfigures.com,https://discovery.hgdata.com/collection/appfigures-inc-products-services,227,-,1,appFigures,https://discovery.hgdata.com/product/appfigures
"Cority Software, Inc.",cority.com,https://discovery.hgdata.com/collection/cority-software-inc-products-services,928,-,2,Cority,https://discovery.hgdata.com/product/cority
"Cority Software, Inc.",cority.com,https://discovery.hgdata.com/collection/cority-software-inc-products-services,928,-,2,Enviance,https://discovery.hgdata.com/product/enviance
"Engine Yard, Inc.",engineyard.com,https://discovery.hgdata.com/collection/engine-yard-inc-products-services,515,-,1,Engine Yard,https://discovery.hgdata.com/product/engine-yard
"Focus POS Systems, Inc.",focuspos.com,https://discovery.hgdata.com/collection/focus-pos-systems-inc-products-services,203,-,1,Focus POS,https://discovery.hgdata.com/product/focus-pos
Baker Company,bakerco.com,https://discovery.hgdata.com/collection/baker-company-products-services,11,-,1,Baker EdgeGARD,https://discovery.hgdata.com/product/baker-edgegard
"MobileMonkey, Inc.",mobilemonkey.com,https://discovery.hgdata.com/collection/mobilemonkey-inc-products-services,74,-,1,MobileMonkey,https://discovery.hgdata.com/product/mobilemonkey
"Adhesion Wealth Advisor Solutions, Inc.",adhesionwealth.com,https://discovery.hgdata.com/collection/adhesion-wealth-advisor-solutions-inc-products-services,15,-,1,Adhesion Wealth,https://discovery.hgdata.com/product/adhesion-wealth
Abbott Informatics Corporation,informatics.abbott,https://discovery.hgdata.com/collection/abbott-informatics-corporation-products-services,465,-,1,STARLIMS,https://discovery.hgdata.com/product/starlims
"Mouseflow, Inc.",mouseflow.com,https://discovery.hgdata.com/collection/mouseflow-inc-products-services,"21,266",-,1,MouseFlow,https://discovery.hgdata.com/product/mouseflow
"RioRey, Inc.",riorey.com,https://discovery.hgdata.com/collection/riorey-inc-products-services,37,-,1,RioRey,https://discovery.hgdata.com/product/riorey
"Arcadia Data, Inc.",arcadiadata.com,https://discovery.hgdata.com/collection/arcadia-data-inc-products-services,200,-,1,Arcadia Enterprise,https://discovery.hgdata.com/product/arcadia-enterprise
Brandify,brandify.com,https://discovery.hgdata.com/collection/brandify-products-services,135,-,1,Brandify,https://discovery.hgdata.com/product/brandify
"Enghouse Interactive, Inc.",enghouseinteractive.com,https://discovery.hgdata.com/collection/enghouse-interactive-inc-products-services,"1,533",-,1,Enghouse Interactive,https://discovery.hgdata.com/product/enghouse-interactive
"RedShield Security, Ltd.",redshield.co,https://discovery.hgdata.com/collection/redshield-security-ltd-products-services,3,-,1,RedShield,https://discovery.hgdata.com/product/redshield
"DNSPod, Inc.",dnspod.com,https://discovery.hgdata.com/collection/dnspod-inc-products-services,"4,699",-,1,DNSPod,https://discovery.hgdata.com/product/dnspod
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,Acsellerate,https://discovery.hgdata.com/product/acsellerate
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,BuildTools,https://discovery.hgdata.com/product/buildtools
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,Deacom,https://discovery.hgdata.com/product/deacom
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,ECi E-automate,https://discovery.hgdata.com/product/eci-e-automate
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,ECi M1,https://discovery.hgdata.com/product/eci-m1
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,ECI Software (Unspecified Product),https://discovery.hgdata.com/product/eci-software-unspecified-product
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,JobBOSS,https://discovery.hgdata.com/product/jobboss
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,Macola,https://discovery.hgdata.com/product/macola
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,Mark Systems IHMS,https://discovery.hgdata.com/product/mark-systems-ihms
"ECI Software Solutions, Inc.",ecisolutions.com,https://discovery.hgdata.com/collection/eci-software-solutions-inc-products-services,"7,501",-,10,RockSolid MAX,https://discovery.hgdata.com/product/rocksolid-max
