vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count
"ShipBob, Inc.",shipbob.com,https://discovery.hgdata.com/collection/shipbob-inc-products-services,76,-,1
"ProviderSoft, LLC",providersoftllc.com,https://discovery.hgdata.com/collection/providersoft-llc-products-services,67,-,1
Defense Finance and Accounting Service,dfas.mil,https://discovery.hgdata.com/collection/defense-finance-and-accounting-service-products-services,35,-,1
"Triplebyte, Inc.",triplebyte.com,https://discovery.hgdata.com/collection/triplebyte-inc-products-services,57,-,1
"Allscripts Healthcare, LLC",allscripts.com,https://discovery.hgdata.com/collection/allscripts-healthcare-llc-products-services,"12,475",-,18
"WorkBoard, Inc.",workboard.com,https://discovery.hgdata.com/collection/workboard-inc-products-services,91,-,1
"Next4biz, Inc.",next4biz.com,https://discovery.hgdata.com/collection/next4biz-inc-products-services,34,-,1
"Avochato, Inc.",avochato.com,https://discovery.hgdata.com/collection/avochato-inc-products-services,37,-,1
"Fetch Robotics, Inc.",fetchrobotics.com,https://discovery.hgdata.com/collection/fetch-robotics-inc-products-services,72,-,1
"Altair Engineering, Inc.",altair.com,https://discovery.hgdata.com/collection/altair-engineering-inc-products-services,"9,955",-,23
Centrical,centrical.com,https://discovery.hgdata.com/collection/centrical-products-services,45,-,1
Namirial S.p.A.,namirial.com,https://discovery.hgdata.com/collection/namirial-s-p-a-products-services,64,-,1
"EdgeVerve Systems, Ltd.",edgeverve.com,https://discovery.hgdata.com/collection/edgeverve-systems-ltd-products-services,"1,455",-,5
"Alteryx, Inc.",alteryx.com,https://discovery.hgdata.com/collection/alteryx-inc-products-services,"10,695",-,5
"Elateral, Inc.",elateral.com,https://discovery.hgdata.com/collection/elateral-inc-products-services,51,-,1
"integraSoft, Inc.",integrasoft.com,https://discovery.hgdata.com/collection/integrasoft-inc-products-services,34,-,1
"Allgress, Inc.",allgress.com,https://discovery.hgdata.com/collection/allgress-inc-products-services,90,-,1
"SeatGeek, Inc.",seatgeek.com,https://discovery.hgdata.com/collection/seatgeek-inc-products-services,52,-,1
"Altova, Inc.",altova.com,https://discovery.hgdata.com/collection/altova-inc-products-services,"5,277",-,2
"ChemAxon, Ltd.",chemaxon.com,https://discovery.hgdata.com/collection/chemaxon-ltd-products-services,85,-,2
"Archive360, Inc.",archive360.com,https://discovery.hgdata.com/collection/archive360-inc-products-services,77,-,1
Amadeus IT Group S.A.,amadeus.com,https://discovery.hgdata.com/collection/amadeus-it-group-s-a-products-services,"5,082",-,6
"Teapplix, Inc.",teapplix.com,https://discovery.hgdata.com/collection/teapplix-inc-products-services,59,-,1
Xperthis S.A.,xperthis.com,https://discovery.hgdata.com/collection/xperthis-s-a-products-services,42,-,1
"GoSecure, Inc.",gosecure.net,https://discovery.hgdata.com/collection/gosecure-inc-products-services,279,-,4
"Kornyk Computer Solutions International, Inc.",kcsi.ca,https://discovery.hgdata.com/collection/kornyk-computer-solutions-international-inc-products-services,34,-,1
"Coralogix, Inc.",coralogix.com,https://discovery.hgdata.com/collection/coralogix-inc-products-services,65,-,1
"Microspot, Ltd.",microspot.com,https://discovery.hgdata.com/collection/microspot-ltd-products-services,32,-,1
"Amazon Web Services, Inc.",aws.amazon.com,https://discovery.hgdata.com/collection/amazon-web-services-inc-products-services,"51,37,024",-,206
"Spring Care, Inc.",springhealth.com,https://discovery.hgdata.com/collection/spring-care-inc-products-services,71,-,1
Apptricity Corporation,apptricity.com,https://discovery.hgdata.com/collection/apptricity-corporation-products-services,90,-,1
DonorDirect,donordirect.com,https://discovery.hgdata.com/collection/donordirect-products-services,34,-,1
"Quantrax Corporation, Inc.",quantrax.com,https://discovery.hgdata.com/collection/quantrax-corporation-inc-products-services,40,-,1
"Featurespace, Ltd.",featurespace.com,https://discovery.hgdata.com/collection/featurespace-ltd-products-services,54,-,1
"Amazon.com, Inc.",amazon.com,https://discovery.hgdata.com/collection/amazon-com-inc-products-services,"43,632",-,9
TOMTEC Imaging Systems GmbH,tomtec.de,https://discovery.hgdata.com/collection/tomtec-imaging-systems-gmbh-products-services,75,-,1
"Synaptica, LLC",synaptica.com,https://discovery.hgdata.com/collection/synaptica-llc-products-services,68,-,1
"Claim.MD, Inc.",claim.md,https://discovery.hgdata.com/collection/claim-md-inc-products-services,33,-,1
"InvestCloud, Inc.",investcloud.com,https://discovery.hgdata.com/collection/investcloud-inc-products-services,132,-,2
Linkurious SAS,linkurio.us,https://discovery.hgdata.com/collection/linkurious-sas-products-services,90,-,1
APICEM SARL,apicrypt.org,https://discovery.hgdata.com/collection/apicem-sarl-products-services,53,-,1
BlueVoyant,bluevoyant.com,https://discovery.hgdata.com/collection/bluevoyant-products-services,59,-,1
